"ID"	"symbol"
"Xe_000198"	"TRNAU1AP"
"Xe_000199"	"Xe_000199"
"Xe_000200"	"Xe_000200"
"Xe_000201"	"RAB23"
"Xe_000202"	"RPS7"
"Xe_000203"	"NOMPC_2"
"Xe_000204"	"Xe_000204"
"Xe_000205"	"Xe_000205"
"Xe_000206"	"Xe_000206"
"Xe_000207"	"HOS4"
"Xe_000208"	"NOMPC_3"
"Xe_000209"	"Xe_000209"
"Xe_000210"	"NOMPC_4"
"Xe_000211"	"Xe_000211"
"Xe_000212"	"ST18"
"Xe_000213"	"EPB41L5_1"
"Xe_000214"	"Xe_000214"
"Xe_000215"	"Xe_000215"
"Xe_000216"	"small ArfGAP 1"
"Xe_000217"	"Xe_000217"
"Xe_000218"	"ACSS2"
"Xe_000219"	"Xe_000219"
"Xe_000220"	"Xe_000220"
"Xe_000221"	"NHL repeat_1"
"Xe_000222"	"Xe_000222"
"Xe_000223"	"SLC2A12"
"Xe_000224"	"erythrocyte membrane protein band 4.1-like_1"
"Xe_000225"	"Xe_000225"
"Xe_000226"	"TNN"
"Xe_000227"	"APP-BP1_1"
"Xe_000228"	"APP-BP1_2"
"Xe_000229"	"Xe_000229"
"Xe_000230"	"APP-BP1_3"
"Xe_000231"	"Xe_000231"
"Xe_000232"	"APP-BP1_4"
"Xe_000233"	"APP-BP1_5"
"Xe_000234"	"Xe_000234"
"Xe_000235"	"Xe_000235"
"Xe_000236"	"MOS_1"
"Xe_000237"	"phosphodiesterase"
"Xe_000238"	"EIF3E"
"Xe_000239"	"ANKRD66_1"
"Xe_000240"	"Xe_000240"
"Xe_000241"	"MAPK15"
"Xe_000242"	"HPCA_1"
"Xe_000243"	"DUF614 domain protein"
"Xe_000244"	"PCMTD1"
"Xe_000245"	"FKBP1A"
"Xe_000246"	"Xe_000246"
"Xe_000247"	"ERK7"
"Xe_000248"	"Regulator of G-protein signaling"
"Xe_000249"	"Xe_000249"
"Xe_000250"	"TM9SF4"
"Xe_000251"	"Zinc finger, C2H2 type_1"
"Xe_000252"	"Xe_000252"
"Xe_000253"	"LAPTM4B"
"Xe_000254"	"PHACTR4"
"Xe_000256"	"Calcineurin-like phosphoesterase_1"
"Xe_000257"	"tyrosine-protein kinase"
"Xe_000258"	"TyrKc_1"
"Xe_000259"	"Xe_000259"
"Xe_000260"	"Xe_000260"
"Xe_000261"	"Xe_000261"
"Xe_000262"	"FYN"
"Xe_000263"	"Xe_000263"
"Xe_000264"	"Xe_000264"
"Xe_000265"	"LONRF3_1"
"Xe_000266"	"GALE"
"Xe_000267"	"MAPRE1"
"Xe_000268"	"TDH"
"Xe_000269"	"IFT52_1"
"Xe_000271"	"Xe_000271"
"Xe_000272"	"Xe_000272"
"Xe_000273"	"Xe_000273"
"Xe_000274"	"WD repeat domain 31_1"
"Xe_000275"	"Xe_000275"
"Xe_000276"	"Alcohol dehydrogenase GroES-like domain_1"
"Xe_000277"	"Xe_000277"
"Xe_000278"	"MECR_1"
"Xe_000279"	"Alcohol dehydrogenase GroES-like domain_2"
"Xe_000280"	"Xe_000280"
"Xe_000281"	"MECR_2"
"Xe_000282"	"Xe_000282"
"Xe_000283"	"Xe_000283"
"Xe_000284"	"RIOK1"
"Xe_000285"	"Xe_000285"
"Xe_000286"	"GREB1L"
"Xe_000287"	"Xe_000287"
"Xe_000288"	"Xe_000288"
"Xe_000289"	"Xe_000289"
"Xe_000290"	"STPG1_1"
"Xe_000291"	"TCEB1"
"Xe_000292"	"RNASEH1"
"Xe_000293"	"SDCBP"
"Xe_000294"	"ROK family"
"Xe_000295"	"PEX13"
"Xe_000296"	"PREB"
"Xe_000297"	"Xe_000297"
"Xe_000298"	"AGBL4_1"
"Xe_000299"	"AGBL4_2"
"Xe_000300"	"GNL2"
"Xe_000301"	"Xe_000301"
"Xe_000303"	"HES5"
"Xe_000304"	"HES2_1"
"Xe_000305"	"TSSC1"
"Xe_000306"	"RPS21"
"Xe_000307"	"Xe_000307"
"Xe_000308"	"Xe_000308"
"Xe_000309"	"KAT8"
"Xe_000310"	"EIF2S1_6"
"Xe_000311"	"Xe_000311"
"Xe_000312"	"Xe_000312"
"Xe_000313"	"Xe_000313"
"Xe_000314"	"Xe_000314"
"Xe_000315"	"EIF2S1_7"
"Xe_000316"	"Xe_000316"
"Xe_000317"	"Xe_000317"
"Xe_000318"	"Xe_000318"
"Xe_000319"	"Integrase core domain_1"
"Xe_000320"	"Xe_000320"
"Xe_000321"	"Xe_000321"
"Xe_000322"	"Xe_000322"
"Xe_000323"	"EIF2S1_8"
"Xe_000324"	"Xe_000324"
"Xe_000325"	"Xe_000325"
"Xe_000326"	"Xe_000326"
"Xe_000327"	"Xe_000327"
"Xe_000328"	"EIF2S1_9"
"Xe_000329"	"Xe_000329"
"Xe_000330"	"Xe_000330"
"Xe_000331"	"Xe_000331"
"Xe_000332"	"Xe_000332"
"Xe_000333"	"Xe_000333"
"Xe_000334"	"Xe_000334"
"Xe_000335"	"IFT52_2"
"Xe_000336"	"Xe_000336"
"Xe_000337"	"SMPDL3B"
"Xe_000338"	"FGGY"
"Xe_000339"	"Xe_000339"
"Xe_000340"	"Xe_000340"
"Xe_000341"	"Xe_000341"
"Xe_000342"	"HECTc_1"
"Xe_000343"	"Xe_000343"
"Xe_000344"	"DBLOX_1"
"Xe_000345"	"DBLOX_2"
"Xe_000346"	"DBLOX_3"
"Xe_000347"	"STK39"
"Xe_000348"	"TESK2"
"Xe_000349"	"C1ORF228"
"Xe_000350"	"CCDC60"
"Xe_000351"	"PDCD7"
"Xe_000353"	"TPR_1"
"Xe_000352"	"NUDT2"
"Xe_000354"	"SKIV2L2_1"
"Xe_000355"	"LRRC42"
"Xe_000356"	"GLIS family zinc finger"
"Xe_000357"	"Xe_000357"
"Xe_000358"	"RFX3_1"
"Xe_000359"	"Xe_000359"
"Xe_000360"	"Xe_000360"
"Xe_000362"	"patched domain containing_1"
"Xe_000361"	"GTF3C1"
"Xe_028800"	"Serpentine Receptor, class W family member"
"Xe_000363"	"SLC11A2"
"Xe_000364"	"Xe_000364"
"Xe_000365"	"ASF1"
"Xe_000366"	"Latrophilin 2_1"
"Xe_000367"	"DIMT1"
"Xe_000368"	"SETD9"
"Xe_000369"	"PP2Cc_1"
"Xe_000370"	"MIER1"
"Xe_000371"	"WDR78"
"Xe_000372"	"aldehyde oxidase"
"Xe_000373"	"Xe_000373"
"Xe_000374"	"FKTN"
"Xe_000375"	"TSPN_1"
"Xe_000376"	"HS3ST6_1"
"Xe_000377"	"TSPAN13_1"
"Xe_000378"	"PSMC5"
"Xe_000379"	"Xe_000379"
"Xe_000380"	"Xe_000380"
"Xe_000381"	"Xe_000381"
"Xe_000382"	"CKMT1"
"Xe_000383"	"CKMT2"
"Xe_000384"	"EMC1"
"Xe_000385"	"SPATA6"
"Xe_000386"	"Xe_000386"
"Xe_000387"	"TTLL7"
"Xe_000388"	"GPX4"
"Xe_000389"	"ZSWIM5"
"Xe_000390"	"POLR2E"
"Xe_000391"	"iron-sulfur cluster assembly 1 homolog, mitochondrial-like"
"Xe_000392"	"WDR83OS"
"Xe_000393"	"ROR1_1"
"Xe_000394"	"Kringle domain_1"
"Xe_000395"	"Gamma-aminobutyric acid (GABA) B receptor_1"
"Xe_000396"	"MSH5_1"
"Xe_000397"	"JUN_1"
"Xe_000398"	"BABAM1"
"Xe_000400"	"VCP"
"Xe_000403"	"GAK"
"Xe_000401"	"ALG14"
"Xe_000402"	"GADD45G"
"Xe_000404"	"Xe_000404"
"Xe_000405"	"Xe_000405"
"Xe_000406"	"PRPF38A"
"Xe_000407"	"PGUG_02939"
"Xe_000408"	"EIF2B3"
"Xe_000409"	"MMP14"
"Xe_000410"	"GLUL_1"
"Xe_000411"	"DNASE1"
"Xe_000412"	"DEPDC1B"
"Xe_000413"	"METTL1"
"Xe_000414"	"patched domain containing_3"
"Xe_000415"	"patched domain containing_4"
"Xe_000416"	"patched domain containing_5"
"Xe_028801"	"PTBP1"
"Xe_000417"	"Xe_000417"
"Xe_000418"	"Cation efflux family"
"Xe_000419"	"Tctex1 domain containing 1"
"Xe_000420"	"SPICE1"
"Xe_000421"	"Putative cyclase_1"
"Xe_000422"	"Xe_000422"
"Xe_000423"	"Putative cyclase_2"
"Xe_000424"	"Xe_000424"
"Xe_000425"	"NOM1"
"Xe_000426"	"Helix-loop-helix DNA-binding domain_1"
"Xe_000427"	"RIF1"
"Xe_000428"	"Tctex-1 family_1"
"Xe_000429"	"SNI_1"
"Xe_000430"	"DDX42"
"Xe_000431"	"NDUFB7"
"Xe_000432"	"Xe_000432"
"Xe_000433"	"NPRL3"
"Xe_000434"	"Xe_000434"
"Xe_000435"	"CCDC164"
"Xe_000436"	"BOLA"
"Xe_000437"	"FAM26E"
"Xe_000438"	"OGFOD1_1"
"Xe_000439"	"Fibronectin type III domain_1"
"Xe_000440"	"zyg-11 homolog B (C. elegans)"
"Xe_000441"	"Xe_000441"
"Xe_000442"	"frizzled family receptor"
"Xe_000443"	"SZT2"
"Xe_000444"	"ALG6"
"Xe_000445"	"C9ORF72_1"
"Xe_000446"	"Major Facilitator Superfamily_1"
"Xe_000447"	"Major Facilitator Superfamily_2"
"Xe_000448"	"Xe_000448"
"Xe_000449"	"7 transmembrane receptor (rhodopsin family)_1"
"Xe_000450"	"Major Facilitator Superfamily_3"
"Xe_000451"	"Major Facilitator Superfamily_4"
"Xe_000452"	"7 transmembrane receptor (rhodopsin family)_2"
"Xe_000453"	"Major Facilitator Superfamily_5"
"Xe_000454"	"Major Facilitator Superfamily_6"
"Xe_000455"	"CCDC132"
"Xe_000456"	"Phenylalanine ammonia-lyase"
"Xe_000457"	"RHBG"
"Xe_000458"	"Xe_000458"
"Xe_000459"	"Xe_000459"
"Xe_000460"	"Xe_000460"
"Xe_000461"	"Xe_000461"
"Xe_000462"	"FDXH"
"Xe_000463"	"RSPH1_1"
"Xe_000464"	"Xe_000464"
"Xe_000465"	"ATP-binding cassette sub-family A ABC1 member_1"
"Xe_000466"	"ATP-binding cassette sub-family A ABC1 member_2"
"Xe_000467"	"C1ORF123"
"Xe_000468"	"ANKZF1"
"Xe_028802"	"PRKACB"
"Xe_000469"	"PMS1"
"Xe_000470"	"Xe_000470"
"Xe_000471"	"HAD-superfamily hydrolase subfamily IA variant 3"
"Xe_000472"	"OVCA2"
"Xe_000473"	"ATG9A"
"Xe_000474"	"WASL"
"Xe_000475"	"ECD"
"Xe_000476"	"STK11"
"Xe_000477"	"INIP"
"Xe_000478"	"Xe_000478"
"Xe_000479"	"TCTEX1D1_1"
"Xe_000480"	"protein tyrosine phosphatase receptor type_1"
"Xe_000481"	"protein tyrosine phosphatase receptor type_2"
"Xe_000482"	"PTPRQ_1"
"Xe_000483"	"Xe_000483"
"Xe_000484"	"Xe_000484"
"Xe_000485"	"Death domain_1"
"Xe_000486"	"SLC25A39"
"Xe_000487"	"GATAD1"
"Xe_000488"	"CHRNA3_1"
"Xe_028803"	"Xe_028803L"
"Xe_000489"	"Xe_000489"
"Xe_000490"	"Xe_000490"
"Xe_000491"	"Xe_000491"
"Xe_000492"	"Xe_000492"
"Xe_000493"	"Xe_000493"
"Xe_000494"	"Xe_000494"
"Xe_000495"	"NOC4L"
"Xe_000496"	"TTC39B_1"
"Xe_000497"	"Ferric-chelate reductase 1_1"
"Xe_000498"	"ZnF_U1_1"
"Xe_000499"	"CREG2"
"Xe_000500"	"RAVER2"
"Xe_000502"	"Xe_000502"
"Xe_000503"	"ORC1"
"Xe_000504"	"SASS6"
"Xe_000505"	"Xe_000505"
"Xe_000506"	"Xe_000506"
"Xe_000507"	"chromosome 1 open reading frame 87"
"Xe_000508"	"AGL"
"Xe_000509"	"NEK8"
"Xe_000510"	"histone acetyltransferase"
"Xe_000511"	"Xe_000511"
"Xe_000512"	"MTG1"
"Xe_000513"	"C16ORF93"
"Xe_000514"	"Dystrophin_1"
"Xe_000515"	"TRABD2B"
"Xe_000516"	"Xe_000516L"
"Xe_000517"	"EPB41L5_2"
"Xe_000518"	"Xe_000518"
"Xe_000519"	"APOB"
"Xe_000520"	"Xe_000520"
"Xe_000521"	"EXOSC3"
"Xe_000522"	"Xe_000522"
"Xe_000523"	"TCEANC2"
"Xe_000524"	"PTPRD_1"
"Xe_000525"	"FAF1_1"
"Xe_000526"	"Xe_000526"
"Xe_000527"	"FH_1"
"Xe_000528"	"Xe_000528"
"Xe_000529"	"RWDD3_1"
"Xe_000530"	"RWDD3_2"
"Xe_000531"	"DYNC2LI1_1"
"Xe_000532"	"NIM1"
"Xe_000533"	"Xe_000533L"
"Xe_000534"	"SEC22A_1"
"Xe_000535"	"ATG4C"
"Xe_000536"	"DDX4_1"
"Xe_000537"	"DDX4_2"
"Xe_000538"	"GDP-fucose protein O-fucosyltransferase"
"Xe_000539"	"LMLN"
"Xe_000540"	"EIF2D"
"Xe_000541"	"CDK6"
"Xe_000542"	"THUMPD1"
"Xe_000543"	"SREK1"
"Xe_000544"	"Xe_000544"
"Xe_000545"	"Xe_000545"
"Xe_000546"	"Xe_000546"
"Xe_000547"	"MGAT5_1"
"Xe_000548"	"GLY-2_1"
"Xe_000549"	"Xe_000549"
"Xe_000550"	"Xe_000550"
"Xe_000551"	"MAST1"
"Xe_000552"	"PDZ domain (Also known as DHR or GLGF)_1"
"Xe_000553"	"Xe_000553"
"Xe_000554"	"RAD23A"
"Xe_000555"	"SLC38A9"
"Xe_000556"	"Xe_000556"
"Xe_000557"	"Xe_000557"
"Xe_000558"	"Xe_000558"
"Xe_000559"	"Xe_000559"
"Xe_000560"	"Xe_000560"
"Xe_000561"	"SETD3"
"Xe_000562"	"Xe_000562"
"Xe_000563"	"SNX7"
"Xe_000564"	"CBWD1"
"Xe_000565"	"Xe_000565"
"Xe_000566"	"AK3"
"Xe_000567"	"C9ORF84"
"Xe_000568"	"CTH"
"Xe_000569"	"NIPA-like domain containing 2"
"Xe_000570"	"Xe_000570"
"Xe_000571"	"VNN1"
"Xe_000572"	"KIAA0020"
"Xe_000573"	"MRPS21"
"Xe_000574"	"Xe_000574"
"Xe_000575"	"Xe_000575"
"Xe_000576"	"Xe_000576"
"Xe_000577"	"Xe_000577"
"Xe_000578"	"FBXW9"
"Xe_000579"	"SLC30A7_2"
"Xe_000580"	"STIL_1"
"Xe_000581"	"OSBPL9"
"Xe_000582"	"Xe_000582"
"Xe_000584"	"Xe_000584"
"Xe_000585"	"PTPRN2"
"Xe_000586"	"Xe_000586"
"Xe_000587"	"Xe_000587"
"Xe_000588"	"NOX_1"
"Xe_000589"	"Ubiquitin family_1"
"Xe_000590"	"AAA_1"
"Xe_000591"	"Ubiquitin family_2"
"Xe_000592"	"AAA_2"
"Xe_000593"	"Ubiquitin family_3"
"Xe_000594"	"AAA_3"
"Xe_000595"	"Ubiquitin family_4"
"Xe_000596"	"AAA_4"
"Xe_000597"	"AAA_5"
"Xe_000598"	"Ubiquitin family_5"
"Xe_000599"	"AAA_6"
"Xe_000600"	"Xe_000600"
"Xe_000601"	"AAA_7"
"Xe_000602"	"LEPROTL1"
"Xe_000603"	"LRRC40"
"Xe_000604"	"Xe_000604"
"Xe_000605"	"EPHX4_1"
"Xe_000606"	"Xe_000606"
"Xe_000607"	"Xe_000607"
"Xe_000608"	"Xe_000608"
"Xe_000609"	"NRD1"
"Xe_000610"	"UROD"
"Xe_000611"	"ATP5D"
"Xe_000612"	"VLDLR_1"
"Xe_000613"	"FG05076.1_1"
"Xe_000614"	"FG05076.1_2"
"Xe_000615"	"FG05076.1_3"
"Xe_000616"	"FG05076.1_4"
"Xe_000617"	"LRP1"
"Xe_000618"	"Xe_000618"
"Xe_000619"	"ATG10"
"Xe_000620"	"single stranded DNA binding protein 4"
"Xe_000621"	"SLC35D1"
"Xe_000622"	"TMEM59"
"Xe_000623"	"SPATA1"
"Xe_000624"	"NFIA_1"
"Xe_000625"	"Xe_000625"
"Xe_000626"	"MCOLN2"
"Xe_000627"	"POLE4_1"
"Xe_000628"	"Xe_000628"
"Xe_000629"	"EIF4B_1"
"Xe_000630"	"potassium channel tetramerisation domain containing_1"
"Xe_000631"	"DYNC1H1_1"
"Xe_000632"	"Retroelement"
"Xe_000633"	"Xe_000633"
"Xe_000634"	"Xe_000634"
"Xe_000635"	"Xe_000635"
"Xe_000636"	"Xe_000636"
"Xe_000637"	"Xe_000637"
"Xe_000638"	"Xe_000638"
"Xe_000639"	"Xe_000639"
"Xe_000640"	"Xe_000640"
"Xe_000641"	"Xe_000641"
"Xe_000642"	"Xe_000642"
"Xe_000643"	"Xe_000643"
"Xe_000644"	"Xe_000644"
"Xe_000645"	"Xe_000645"
"Xe_000646"	"Xe_000646"
"Xe_000647"	"Xe_000647"
"Xe_000648"	"Xe_000648"
"Xe_000649"	"Xe_000649"
"Xe_000650"	"Xe_000650"
"Xe_000651"	"Xe_000651"
"Xe_000652"	"Xe_000652"
"Xe_000653"	"Xe_000653"
"Xe_000654"	"Xe_000654"
"Xe_000655"	"POLE4_2"
"Xe_000656"	"GTPBP4"
"Xe_000657"	"STRADA"
"Xe_000658"	"EIF4B_2"
"Xe_000659"	"potassium channel tetramerisation domain containing_2"
"Xe_000660"	"DYNC1H1_2"
"Xe_000661"	"Xe_000661"
"Xe_000662"	"potassium channel tetramerisation domain containing_3"
"Xe_000663"	"DYNC1H1_3"
"Xe_000664"	"Xe_000664"
"Xe_000665"	"Xe_000665"
"Xe_000666"	"prostaglandin G H synthase and cyclooxygenase_1"
"Xe_000667"	"DYNC1H1_4"
"Xe_000668"	"potassium channel tetramerisation domain containing_4"
"Xe_000669"	"DYNC1H1_5"
"Xe_000670"	"DYNC1H1_6"
"Xe_000671"	"AP3D1"
"Xe_000672"	"SMARCD3_1"
"Xe_028804"	"Xe_028804L"
"Xe_000673"	"Xe_000673"
"Xe_000674"	"Xe_000674"
"Xe_000675"	"CDC20_1"
"Xe_000676"	"STYKc_1"
"Xe_000677"	"Xe_000677"
"Xe_000678"	"Xe_000678"
"Xe_000679"	"GPO"
"Xe_000680"	"RICTOR"
"Xe_000681"	"TRAPPC5"
"Xe_000682"	"Na driven multidrug efflux pump"
"Xe_000683"	"CDC20_2"
"Xe_000684"	"prolyl 4-hydroxylase"
"Xe_000685"	"Xe_000685"
"Xe_000686"	"UBE2U"
"Xe_000687"	"ANKRD13C"
"Xe_000688"	"FG06400.1"
"Xe_028805"	"RAB18"
"Xe_000689"	"receptor_1"
"Xe_000690"	"Xe_000690"
"Xe_000691"	"Xe_000691"
"Xe_000692"	"kiaa1715_1"
"Xe_000693"	"abl-interactor 2"
"Xe_000694"	"Mov34_1"
"Xe_028806"	"PIF1"
"Xe_000695"	"Xe_000695"
"Xe_000696"	"RAPGEF4"
"Xe_000697"	"ZBTB41"
"Xe_000698"	"CHMP5"
"Xe_000699"	"major facilitator superfamily domain containing 6_1"
"Xe_000700"	"major facilitator superfamily domain containing 6_2"
"Xe_000701"	"Xe_000701"
"Xe_000702"	"Xe_000702"
"Xe_000703"	"Xe_000703"
"Xe_000704"	"Xe_000704"
"Xe_000705"	"GALR2_1"
"Xe_000706"	"Xe_000706"
"Xe_000707"	"Xe_000707"
"Xe_000708"	"major facilitator superfamily domain containing 6_3"
"Xe_000709"	"major facilitator superfamily domain containing 6_4"
"Xe_000710"	"GDSL-like Lipase/Acylhydrolase_1"
"Xe_000711"	"Xe_000711"
"Xe_000712"	"STAT6_1"
"Xe_000713"	"IRGC_1"
"Xe_000714"	"Xe_000714"
"Xe_000715"	"Xe_000715"
"Xe_000716"	"Interferon-inducible GTPase (IIGP)"
"Xe_000717"	"Xe_000717"
"Xe_000718"	"IRGC_2"
"Xe_000719"	"STAT5A"
"Xe_000720"	"immunity-related GTPase family_1"
"Xe_000721"	"IFGGA1_1"
"Xe_000722"	"acyl coa dehydrogenase 6-like"
"Xe_000723"	"PDP1_1"
"Xe_000724"	"PDP1_2"
"Xe_000725"	"C17ORF104"
"Xe_000726"	"IFI44_1"
"Xe_000727"	"Xe_000727"
"Xe_000728"	"potassium channel tetramerisation domain containing_5"
"Xe_000729"	"potassium channel tetramerisation domain containing_6"
"Xe_000730"	"prostaglandin G H synthase and cyclooxygenase_2"
"Xe_000731"	"potassium channel tetramerisation domain containing_7"
"Xe_000732"	"CAPN7_1"
"Xe_000733"	"potassium channel tetramerisation domain containing_8"
